epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9095,0.49914,0.28038,0.86183,0.46755,0.75766,0.53699,0.40358,1.05396,2.0475,1.09666,0.000545744,0.000545744,0.000545744
2,22.1148,0.42253,0.26675,0.83802,0.54359,0.57061,0.49827,0.36769,1.11728,2.08832,1.12701,0.00109414,0.00109414,0.00109414
3,32.0162,0.46136,0.27392,0.85609,0.50044,0.57686,0.46698,0.32127,1.25364,2.30705,1.17174,0.0016352,0.0016352,0.0016352
4,40.9522,0.4808,0.27879,0.8495,0.56619,0.46522,0.425,0.29609,1.19379,2.81316,1.17182,0.00163399,0.00163399,0.00163399
5,50.3998,0.47679,0.28212,0.85016,0.51265,0.55949,0.45753,0.3391,1.04066,2.20217,1.08502,0.00162299,0.00162299,0.00162299
6,59.8048,0.47766,0.29726,0.85177,0.54363,0.49944,0.41303,0.29725,1.21286,2.95513,1.185,0.00161199,0.00161199,0.00161199
7,69.3322,0.51363,0.29342,0.86424,0.59048,0.65674,0.5722,0.3809,1.23764,1.55712,1.20733,0.00160099,0.00160099,0.00160099
8,78.6787,0.47628,0.29685,0.84758,0.54454,0.64909,0.53853,0.36443,1.22809,1.93402,1.22352,0.00158998,0.00158998,0.00158998
9,88.8832,0.47111,0.29228,0.8491,0.50946,0.64626,0.51871,0.33075,1.43494,1.97889,1.33967,0.00157898,0.00157898,0.00157898
10,98.5269,0.48348,0.29158,0.85713,0.48416,0.5484,0.41403,0.29473,1.20752,3.01631,1.15002,0.00156798,0.00156798,0.00156798
11,109.231,0.47098,0.30025,0.8533,0.58234,0.54302,0.45687,0.31557,1.09117,2.05513,1.09988,0.00155698,0.00155698,0.00155698
12,119.523,0.49143,0.29046,0.8578,0.53441,0.65305,0.52355,0.37558,1.0697,1.89979,1.11724,0.00154598,0.00154598,0.00154598
13,128.554,0.46312,0.28398,0.85125,0.53822,0.58899,0.52823,0.38814,1.09398,2.01724,1.13041,0.00153497,0.00153497,0.00153497
14,137.739,0.47664,0.2887,0.85331,0.50298,0.64289,0.43697,0.31265,1.08771,2.0925,1.1396,0.00152397,0.00152397,0.00152397
15,148.07,0.47912,0.2958,0.85734,0.49382,0.57291,0.43792,0.31471,1.12396,2.13154,1.12729,0.00151297,0.00151297,0.00151297
16,156.862,0.47347,0.28321,0.853,0.49775,0.61395,0.51554,0.36863,1.07437,1.78857,1.10738,0.00150197,0.00150197,0.00150197
17,166.374,0.47886,0.2807,0.85243,0.50198,0.50437,0.41841,0.30023,1.07484,1.92244,1.09435,0.00149096,0.00149096,0.00149096
18,175.426,0.50438,0.29648,0.86208,0.48375,0.58759,0.43274,0.29028,1.23327,2.15328,1.14743,0.00147996,0.00147996,0.00147996
19,185.571,0.4992,0.2949,0.85966,0.51586,0.64167,0.52992,0.36961,1.14394,1.7545,1.1342,0.00146896,0.00146896,0.00146896
20,195.797,0.50629,0.29632,0.86233,0.47431,0.52875,0.42762,0.29881,1.12608,2.22532,1.11614,0.00145796,0.00145796,0.00145796
21,205.928,0.51822,0.29578,0.8655,0.50997,0.56285,0.436,0.29494,1.1837,2.08277,1.14853,0.00144696,0.00144696,0.00144696
22,214.725,0.48061,0.28116,0.85695,0.45952,0.58882,0.42408,0.30794,1.09598,2.29028,1.09472,0.00143595,0.00143595,0.00143595
23,224.621,0.4973,0.29556,0.86092,0.51771,0.67022,0.51958,0.35758,1.06791,1.73379,1.10475,0.00142495,0.00142495,0.00142495
24,234.21,0.49641,0.29448,0.85733,0.47783,0.65629,0.46397,0.3221,1.16828,1.98518,1.13766,0.00141395,0.00141395,0.00141395
25,243.193,0.51727,0.30144,0.8605,0.52337,0.57132,0.44854,0.30873,1.0869,1.98866,1.11132,0.00140295,0.00140295,0.00140295
26,252.931,0.48521,0.28774,0.85922,0.5135,0.62278,0.52847,0.36748,1.10219,1.94536,1.12396,0.00139195,0.00139195,0.00139195
27,262.713,0.47162,0.28348,0.85351,0.51344,0.66678,0.50686,0.36914,1.02351,2.07087,1.06178,0.00138094,0.00138094,0.00138094
28,271.676,0.51408,0.30213,0.86383,0.52428,0.68025,0.5209,0.35917,1.08138,1.81751,1.07845,0.00136994,0.00136994,0.00136994
29,283.035,0.50812,0.29538,0.85303,0.55544,0.59044,0.51066,0.35884,1.0738,1.75698,1.09359,0.00135894,0.00135894,0.00135894
30,292.805,0.50387,0.29452,0.86418,0.51594,0.60198,0.46389,0.32312,1.13068,1.91923,1.12271,0.00134794,0.00134794,0.00134794
31,302.357,0.50219,0.29166,0.85532,0.51222,0.56966,0.46741,0.33235,1.09887,2.09913,1.13077,0.00133693,0.00133693,0.00133693
32,311.643,0.49343,0.28995,0.85308,0.53638,0.681,0.54202,0.38702,1.06262,1.70426,1.09122,0.00132593,0.00132593,0.00132593
33,321.023,0.49291,0.29792,0.85953,0.51032,0.5871,0.40894,0.2773,1.15241,2.30807,1.13649,0.00131493,0.00131493,0.00131493
34,330.211,0.48908,0.29384,0.86182,0.54582,0.71043,0.56118,0.36609,1.29158,1.46705,1.22004,0.00130393,0.00130393,0.00130393
35,339.288,0.53836,0.30424,0.86811,0.55204,0.64928,0.48336,0.32919,1.0804,1.74003,1.10795,0.00129293,0.00129293,0.00129293
36,348.749,0.53631,0.30409,0.86256,0.50726,0.65178,0.48673,0.32743,1.17675,1.83477,1.15915,0.00128192,0.00128192,0.00128192
37,359.492,0.57009,0.31051,0.87385,0.47525,0.57341,0.41385,0.29992,1.06765,2.35177,1.09585,0.00127092,0.00127092,0.00127092
38,368.906,0.52624,0.29897,0.87205,0.53527,0.64827,0.49913,0.36207,1.00583,1.67167,1.06304,0.00125992,0.00125992,0.00125992
39,378.192,0.51702,0.2895,0.86832,0.5162,0.63779,0.464,0.31973,1.14579,2.00854,1.1639,0.00124892,0.00124892,0.00124892
40,388.698,0.51172,0.29288,0.86927,0.53626,0.59983,0.48273,0.34958,1.05564,1.88778,1.06777,0.00123791,0.00123791,0.00123791
41,397.322,0.50949,0.29026,0.8634,0.56435,0.51656,0.45023,0.3249,1.0857,2.29581,1.09002,0.00122691,0.00122691,0.00122691
42,406.453,0.50699,0.28644,0.8663,0.55168,0.56377,0.47532,0.33935,1.0477,2.13668,1.0776,0.00121591,0.00121591,0.00121591
43,415.529,0.51948,0.30681,0.86207,0.51393,0.61104,0.45808,0.32454,1.04266,2.17142,1.09569,0.00120491,0.00120491,0.00120491
44,425.251,0.51087,0.29661,0.86405,0.52315,0.5998,0.46383,0.33012,1.1122,1.89907,1.11042,0.00119391,0.00119391,0.00119391
