epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1627,0.38437,0.24251,0.84054,0.50747,0.70688,0.55765,0.40621,1.10127,1.76265,1.11148,0.000545744,0.000545744,0.000545744
2,21.2847,0.41852,0.26099,0.83806,0.50474,0.65487,0.52344,0.37371,1.13802,1.931,1.11428,0.00109051,0.00109051,0.00109051
3,30.528,0.44199,0.2686,0.85356,0.4941,0.65528,0.51866,0.37402,1.14403,1.98179,1.14039,0.00162427,0.00162427,0.00162427
4,40.5153,0.4503,0.26809,0.84354,0.5687,0.66972,0.58808,0.42243,1.12826,1.58207,1.15307,0.00161749,0.00161749,0.00161749
5,50.1201,0.46046,0.28001,0.84929,0.54445,0.61856,0.51739,0.38178,1.05348,1.94521,1.11278,0.00160099,0.00160099,0.00160099
6,59.4219,0.45945,0.28331,0.84955,0.53141,0.71047,0.5933,0.42588,1.11278,1.73547,1.14364,0.00158448,0.00158448,0.00158448
7,69.4041,0.46745,0.28027,0.85611,0.48499,0.61983,0.45405,0.32369,1.09481,1.91756,1.12073,0.00156798,0.00156798,0.00156798
8,79.3473,0.45943,0.28355,0.84558,0.44461,0.80691,0.54289,0.40512,1.04062,1.89649,1.10713,0.00155148,0.00155148,0.00155148
9,89.4766,0.46186,0.28309,0.8469,0.56858,0.67618,0.52654,0.36755,1.18806,1.65615,1.18815,0.00153497,0.00153497,0.00153497
10,99.2919,0.48293,0.28699,0.85781,0.42718,0.71175,0.47451,0.3322,1.23095,2.52298,1.17173,0.00151847,0.00151847,0.00151847
11,109.178,0.45696,0.27816,0.85246,0.53031,0.64772,0.54222,0.39459,1.10589,1.74702,1.12321,0.00150197,0.00150197,0.00150197
12,114.772,0.48653,0.28106,0.85688,0.45928,0.61537,0.46105,0.33571,1.07842,2.15539,1.11898,0.00148546,0.00148546,0.00148546
13,120.497,0.46166,0.27345,0.85232,0.47519,0.76071,0.52733,0.39358,1.05459,2.08005,1.09808,0.00146896,0.00146896,0.00146896
14,125.91,0.47001,0.27584,0.85062,0.50496,0.6333,0.49921,0.35858,1.06884,2.06694,1.10997,0.00145246,0.00145246,0.00145246
15,131.39,0.46719,0.27931,0.85421,0.45222,0.76295,0.50775,0.3834,1.0358,2.30706,1.08155,0.00143595,0.00143595,0.00143595
16,136.854,0.46409,0.2713,0.85341,0.54774,0.65604,0.53751,0.38984,1.10393,1.94588,1.13209,0.00141945,0.00141945,0.00141945
17,142.335,0.45977,0.27261,0.84991,0.47647,0.6113,0.4788,0.35804,1.05199,2.01216,1.09084,0.00140295,0.00140295,0.00140295
18,147.809,0.47778,0.28527,0.85639,0.46517,0.62765,0.48025,0.34922,1.05766,2.06587,1.10591,0.00138644,0.00138644,0.00138644
19,153.3,0.49463,0.2886,0.86057,0.49642,0.64992,0.52338,0.37519,1.11592,1.87685,1.16157,0.00136994,0.00136994,0.00136994
20,158.851,0.48449,0.29373,0.85825,0.4805,0.5786,0.44416,0.30857,1.16398,2.24175,1.15547,0.00135344,0.00135344,0.00135344
21,164.28,0.47251,0.28366,0.85513,0.49002,0.58587,0.42988,0.29948,1.18606,2.73087,1.19365,0.00133693,0.00133693,0.00133693
22,169.782,0.4548,0.26762,0.85098,0.49408,0.66232,0.52249,0.37645,1.03405,1.7488,1.08445,0.00132043,0.00132043,0.00132043
23,175.541,0.47604,0.2791,0.85842,0.58494,0.61496,0.56734,0.36099,1.35194,1.74258,1.28079,0.00130393,0.00130393,0.00130393
