epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6597,0.61332,0.3498,0.8954,0.5544,0.57019,0.52613,0.38034,1.03986,2.06866,1.05098,0.000545744,0.000545744,0.000545744
2,23.0492,0.59086,0.34218,0.88058,0.49828,0.60128,0.47686,0.34443,1.1425,1.87217,1.13624,0.00109414,0.00109414,0.00109414
3,32.3197,0.62587,0.35997,0.90281,0.52509,0.63488,0.51509,0.35432,1.17036,1.71061,1.14216,0.0016352,0.0016352,0.0016352
4,41.8477,0.68684,0.38061,0.90709,0.51144,0.62103,0.48319,0.32288,1.18394,1.69655,1.14781,0.00163399,0.00163399,0.00163399
5,50.8008,0.70014,0.4041,0.91279,0.52098,0.61304,0.52229,0.36831,1.11101,1.78735,1.12094,0.00162299,0.00162299,0.00162299
6,59.9301,0.74224,0.43047,0.92754,0.52928,0.69772,0.57695,0.37175,1.33451,1.48727,1.20197,0.00161199,0.00161199,0.00161199
7,69.6207,0.69666,0.42206,0.92223,0.52895,0.68253,0.53413,0.38731,1.09424,2.05672,1.084,0.00160099,0.00160099,0.00160099
8,78.6968,0.69593,0.41661,0.91338,0.45716,0.65778,0.47307,0.31521,1.23063,2.09784,1.15545,0.00158998,0.00158998,0.00158998
9,89.757,0.68576,0.41311,0.91037,0.43911,0.8224,0.50071,0.33951,1.23099,1.97583,1.15486,0.00157898,0.00157898,0.00157898
10,98.7289,0.70504,0.42591,0.92331,0.51012,0.61669,0.46748,0.33031,1.14556,2.22541,1.10911,0.00156798,0.00156798,0.00156798
11,107.671,0.69653,0.42782,0.92015,0.43795,0.82389,0.51781,0.3803,1.08205,1.90339,1.09213,0.00155698,0.00155698,0.00155698
12,116.356,0.725,0.4209,0.92729,0.49713,0.63054,0.45736,0.28049,1.45655,1.92695,1.28864,0.00154598,0.00154598,0.00154598
13,125.073,0.71631,0.42693,0.92237,0.46127,0.64278,0.4648,0.31044,1.28953,1.95363,1.17716,0.00153497,0.00153497,0.00153497
14,134.138,0.71485,0.41099,0.92029,0.50122,0.686,0.52178,0.34598,1.24167,1.89015,1.16109,0.00152397,0.00152397,0.00152397
15,143.094,0.6891,0.41584,0.91595,0.44745,0.60211,0.43407,0.30725,1.13921,2.18452,1.11912,0.00151297,0.00151297,0.00151297
16,152.532,0.6938,0.41401,0.91816,0.39985,0.78866,0.4801,0.29839,1.45239,1.98596,1.27129,0.00150197,0.00150197,0.00150197
17,162.065,0.70572,0.41226,0.92192,0.50623,0.62423,0.50332,0.35361,1.1128,2.00272,1.09634,0.00149096,0.00149096,0.00149096
18,171.646,0.71503,0.40796,0.92381,0.49217,0.66271,0.52694,0.36449,1.17992,1.81001,1.12998,0.00147996,0.00147996,0.00147996
19,181.509,0.72783,0.42077,0.92615,0.51499,0.64382,0.52236,0.374,1.13177,1.69059,1.08719,0.00146896,0.00146896,0.00146896
20,191.774,0.7044,0.41097,0.9244,0.44667,0.63077,0.47106,0.33313,1.10515,1.91317,1.10493,0.00145796,0.00145796,0.00145796
21,201.151,0.71408,0.40938,0.92577,0.40053,0.85886,0.49311,0.35391,1.09587,1.94863,1.07948,0.00144696,0.00144696,0.00144696
22,210.357,0.66983,0.38513,0.90942,0.49435,0.66734,0.52064,0.34415,1.29594,1.74552,1.19428,0.00143595,0.00143595,0.00143595
23,219.753,0.69072,0.39758,0.91805,0.52491,0.61983,0.43109,0.24743,1.55752,2.1902,1.33301,0.00142495,0.00142495,0.00142495
24,228.976,0.71488,0.41878,0.92511,0.44055,0.71026,0.45583,0.32183,1.1371,2.34439,1.10546,0.00141395,0.00141395,0.00141395
25,238.235,0.73261,0.41209,0.92928,0.34155,0.80516,0.42815,0.3139,1.14222,2.3146,1.11235,0.00140295,0.00140295,0.00140295
26,248.984,0.70521,0.40514,0.92655,0.49519,0.61575,0.48348,0.33828,1.08752,1.822,1.07694,0.00139195,0.00139195,0.00139195
27,258.564,0.70715,0.40136,0.9226,0.48349,0.70983,0.52513,0.36627,1.0816,1.79807,1.06952,0.00138094,0.00138094,0.00138094
28,268.491,0.71905,0.4394,0.92784,0.50759,0.63209,0.46111,0.2966,1.20184,1.71485,1.14052,0.00136994,0.00136994,0.00136994
29,278.999,0.69777,0.40071,0.91278,0.50743,0.69742,0.53612,0.35768,1.18199,1.53876,1.13535,0.00135894,0.00135894,0.00135894
30,287.529,0.70486,0.41023,0.92963,0.45038,0.67174,0.48258,0.34429,1.0546,1.74692,1.08066,0.00134794,0.00134794,0.00134794
31,297.116,0.71294,0.41158,0.91891,0.49559,0.68595,0.50686,0.34234,1.16559,1.73583,1.11869,0.00133693,0.00133693,0.00133693
32,306.972,0.70327,0.40449,0.91895,0.48223,0.61303,0.49483,0.3481,1.14314,1.69791,1.081,0.00132593,0.00132593,0.00132593
33,316.134,0.70772,0.4086,0.92413,0.42456,0.82341,0.51526,0.36383,1.18917,2.10867,1.1231,0.00131493,0.00131493,0.00131493
34,326.934,0.68274,0.40064,0.91958,0.47655,0.63181,0.44772,0.2953,1.09264,1.95166,1.09006,0.00130393,0.00130393,0.00130393
35,336.326,0.70789,0.40258,0.92089,0.55844,0.70789,0.54171,0.36438,1.14822,1.41386,1.09618,0.00129293,0.00129293,0.00129293
36,345.793,0.69993,0.40831,0.91374,0.51808,0.65414,0.51754,0.33732,1.24999,1.75691,1.1723,0.00128192,0.00128192,0.00128192
37,357.542,0.71358,0.4164,0.92347,0.5199,0.68827,0.53607,0.37969,1.08238,1.88514,1.08949,0.00127092,0.00127092,0.00127092
38,367.18,0.72524,0.3974,0.93505,0.45796,0.70078,0.4976,0.36164,1.06621,2.26651,1.06316,0.00125992,0.00125992,0.00125992
39,376.028,0.6898,0.38303,0.91649,0.40712,0.80269,0.5038,0.35785,1.06929,2.4739,1.08416,0.00124892,0.00124892,0.00124892
40,385.268,0.7015,0.39838,0.92165,0.41434,0.8324,0.48587,0.35116,1.0741,2.30185,1.06544,0.00123791,0.00123791,0.00123791
41,394.309,0.69279,0.38939,0.91942,0.46079,0.73464,0.47137,0.3286,1.23384,2.33278,1.15604,0.00122691,0.00122691,0.00122691
