epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.50065,0.47165,0.28704,0.89317,0.71764,0.57594,0.63154,0.46132,1.17637,1.4081,1.47839,0.000541775,0.000541775,0.000541775
2,10.1354,0.46165,0.28909,0.89911,0.60297,0.66574,0.61186,0.42461,1.20566,1.4605,1.48071,0.00108658,0.00108658,0.00108658
3,14.6149,0.48907,0.29051,0.8948,0.6984,0.54576,0.61075,0.43653,1.19508,1.44265,1.53652,0.00162038,0.00162038,0.00162038
4,19.4775,0.55604,0.34203,0.91768,0.59936,0.55654,0.5579,0.41022,1.1357,1.52351,1.4081,0.00161749,0.00161749,0.00161749
5,23.9393,0.55412,0.36432,0.93202,0.56059,0.61513,0.56229,0.42312,1.14609,1.58983,1.45153,0.00160099,0.00160099,0.00160099
6,28.4114,0.55987,0.35228,0.92074,0.66607,0.64869,0.63787,0.46331,1.11366,1.34893,1.3859,0.00158448,0.00158448,0.00158448
7,32.8916,0.55859,0.35629,0.92345,0.61107,0.69983,0.61889,0.45524,1.1569,1.43376,1.40587,0.00156798,0.00156798,0.00156798
8,37.3946,0.59355,0.36615,0.94733,0.56722,0.58925,0.53135,0.40288,1.10962,1.7031,1.42051,0.00155148,0.00155148,0.00155148
9,41.8209,0.60946,0.36518,0.93906,0.59706,0.64218,0.59174,0.44123,1.21734,1.59409,1.47179,0.00153497,0.00153497,0.00153497
10,46.2619,0.59544,0.34856,0.94196,0.64077,0.65941,0.635,0.47726,1.12874,1.45464,1.364,0.00151847,0.00151847,0.00151847
11,50.6589,0.59368,0.35162,0.94034,0.63092,0.54185,0.59534,0.43751,1.16257,1.46249,1.45524,0.00150197,0.00150197,0.00150197
12,54.9727,0.56655,0.34911,0.92428,0.54714,0.62221,0.57635,0.43649,1.13299,1.66306,1.39201,0.00148546,0.00148546,0.00148546
13,59.3202,0.58499,0.36546,0.94059,0.59751,0.62983,0.608,0.44937,1.09268,1.32426,1.36503,0.00146896,0.00146896,0.00146896
14,63.6065,0.59272,0.35806,0.94393,0.50058,0.59091,0.52327,0.3752,1.23449,1.74279,1.46127,0.00145246,0.00145246,0.00145246
15,67.8066,0.59216,0.35553,0.93208,0.68928,0.60783,0.61868,0.46455,1.12002,1.47164,1.3959,0.00143595,0.00143595,0.00143595
16,72.0405,0.58203,0.36538,0.92384,0.74407,0.54218,0.62658,0.46426,1.15422,1.70345,1.38277,0.00141945,0.00141945,0.00141945
17,76.2691,0.57677,0.35949,0.91782,0.58625,0.63677,0.56832,0.42713,1.14364,1.704,1.39434,0.00140295,0.00140295,0.00140295
18,80.4725,0.55038,0.34014,0.92751,0.66473,0.5995,0.63445,0.46423,1.14307,1.40421,1.39426,0.00138644,0.00138644,0.00138644
19,84.7187,0.56525,0.35199,0.92871,0.60908,0.63193,0.60433,0.44331,1.11769,1.41249,1.39162,0.00136994,0.00136994,0.00136994
20,88.9398,0.57075,0.34353,0.93113,0.59766,0.57377,0.5915,0.42518,1.13471,1.52574,1.45046,0.00135344,0.00135344,0.00135344
21,93.1494,0.56876,0.34562,0.92636,0.59417,0.60351,0.58321,0.42744,1.14389,1.48783,1.39932,0.00133693,0.00133693,0.00133693
22,97.6128,0.56437,0.35894,0.93908,0.64793,0.62481,0.64854,0.4751,1.13239,1.32991,1.42635,0.00132043,0.00132043,0.00132043
23,101.844,0.59013,0.36013,0.92533,0.66782,0.67204,0.66093,0.47777,1.18708,1.36597,1.42062,0.00130393,0.00130393,0.00130393
24,106.053,0.56507,0.35405,0.93266,0.71782,0.61946,0.65169,0.48866,1.08489,1.20989,1.38233,0.00128742,0.00128742,0.00128742
25,110.284,0.55753,0.33626,0.90473,0.61041,0.56818,0.59545,0.43106,1.23799,1.57405,1.46697,0.00127092,0.00127092,0.00127092
26,114.499,0.55486,0.35449,0.92682,0.60725,0.63276,0.58838,0.42159,1.2134,1.53844,1.49522,0.00125442,0.00125442,0.00125442
27,118.717,0.554,0.34277,0.92315,0.5476,0.67977,0.62609,0.44962,1.17496,1.54131,1.44302,0.00123791,0.00123791,0.00123791
28,122.967,0.55751,0.35666,0.93105,0.63133,0.61364,0.6171,0.46147,1.13325,1.58488,1.4019,0.00122141,0.00122141,0.00122141
29,127.175,0.56272,0.35157,0.93467,0.59041,0.60184,0.56972,0.429,1.10436,1.60454,1.37706,0.00120491,0.00120491,0.00120491
30,131.417,0.55571,0.34717,0.92824,0.61098,0.55904,0.58166,0.42994,1.14775,1.55198,1.38384,0.0011884,0.0011884,0.0011884
31,135.737,0.5447,0.33705,0.91982,0.69747,0.59867,0.66409,0.48548,1.16051,1.3639,1.39848,0.0011719,0.0011719,0.0011719
