epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.00135,0.45143,0.27214,0.88694,0.73389,0.58204,0.61894,0.45743,1.1752,1.4418,1.47594,0.000541775,0.000541775,0.000541775
2,9.41092,0.44177,0.2776,0.88994,0.71774,0.62749,0.62738,0.45772,1.1462,1.39418,1.44565,0.00108658,0.00108658,0.00108658
3,13.6591,0.47806,0.29772,0.88959,0.62218,0.61863,0.61808,0.44839,1.133,1.34136,1.40942,0.00162038,0.00162038,0.00162038
4,18.2443,0.56159,0.33776,0.91241,0.66542,0.57456,0.54378,0.39952,1.19443,1.81252,1.4866,0.00161749,0.00161749,0.00161749
5,22.4662,0.53935,0.34833,0.92206,0.57832,0.64351,0.61655,0.46025,1.09392,1.47047,1.40062,0.00160099,0.00160099,0.00160099
6,26.6675,0.55388,0.35329,0.91989,0.62642,0.71552,0.67438,0.48721,1.12733,1.30666,1.416,0.00158448,0.00158448,0.00158448
7,30.9161,0.54322,0.33378,0.91388,0.6281,0.55931,0.61348,0.44004,1.17704,1.50383,1.44894,0.00156798,0.00156798,0.00156798
8,35.0978,0.56968,0.3543,0.93708,0.6073,0.61168,0.59314,0.42913,1.13443,1.52827,1.41196,0.00155148,0.00155148,0.00155148
9,39.3252,0.57245,0.34681,0.9251,0.60855,0.63711,0.6106,0.45129,1.19014,1.48889,1.45089,0.00153497,0.00153497,0.00153497
10,43.59,0.54989,0.33893,0.92524,0.61431,0.61409,0.51861,0.37982,1.13716,1.70527,1.41582,0.00151847,0.00151847,0.00151847
11,47.7988,0.55053,0.34435,0.92294,0.58759,0.69892,0.60944,0.42671,1.21891,1.3115,1.48334,0.00150197,0.00150197,0.00150197
12,52.0283,0.55722,0.35742,0.91821,0.59566,0.65641,0.59196,0.43916,1.12475,1.53325,1.41907,0.00148546,0.00148546,0.00148546
13,56.2847,0.54959,0.35796,0.92661,0.60784,0.61779,0.61832,0.44842,1.15007,1.39994,1.44679,0.00146896,0.00146896,0.00146896
14,60.542,0.58058,0.36801,0.95002,0.54755,0.62078,0.55467,0.38892,1.18985,1.60447,1.41814,0.00145246,0.00145246,0.00145246
15,64.8235,0.56969,0.35129,0.92915,0.53003,0.64558,0.5907,0.42407,1.18598,1.46714,1.43013,0.00143595,0.00143595,0.00143595
16,69.215,0.54847,0.34248,0.9109,0.54698,0.7209,0.64621,0.46372,1.20937,1.43067,1.5109,0.00141945,0.00141945,0.00141945
17,73.4514,0.54282,0.33761,0.90913,0.64023,0.60643,0.59964,0.44794,1.13663,1.41134,1.42918,0.00140295,0.00140295,0.00140295
18,77.6822,0.5442,0.33062,0.92431,0.59568,0.58897,0.57506,0.42186,1.17447,1.54764,1.48549,0.00138644,0.00138644,0.00138644
19,81.9182,0.56774,0.33369,0.92303,0.59276,0.60948,0.6127,0.46891,1.10952,1.54211,1.42059,0.00136994,0.00136994,0.00136994
20,86.1503,0.56363,0.34106,0.92349,0.57629,0.56378,0.57133,0.43249,1.11836,1.57644,1.39622,0.00135344,0.00135344,0.00135344
21,90.3736,0.54811,0.34191,0.91928,0.66926,0.57364,0.57634,0.41813,1.15172,1.43465,1.41221,0.00133693,0.00133693,0.00133693
22,94.787,0.52697,0.33819,0.91895,0.58171,0.62219,0.56667,0.40509,1.18121,1.66404,1.48264,0.00132043,0.00132043,0.00132043
23,99.0131,0.58202,0.34559,0.91809,0.58655,0.66935,0.63583,0.46876,1.1276,1.3349,1.42818,0.00130393,0.00130393,0.00130393
24,103.232,0.56221,0.34556,0.92724,0.64054,0.59257,0.6334,0.47247,1.11578,1.42634,1.3651,0.00128742,0.00128742,0.00128742
25,107.462,0.54426,0.33275,0.89758,0.60812,0.63082,0.61436,0.43726,1.16,1.39403,1.44181,0.00127092,0.00127092,0.00127092
26,111.77,0.52672,0.33721,0.91181,0.58518,0.55206,0.56778,0.43099,1.0798,1.49299,1.40875,0.00125442,0.00125442,0.00125442
27,116.019,0.52167,0.31436,0.91177,0.64406,0.59213,0.60902,0.44497,1.17293,1.4793,1.44193,0.00123791,0.00123791,0.00123791
28,120.271,0.5368,0.33464,0.92071,0.61948,0.56208,0.57876,0.41922,1.19635,1.7428,1.43778,0.00122141,0.00122141,0.00122141
29,124.505,0.54704,0.33298,0.93037,0.5872,0.56215,0.55441,0.41282,1.10965,1.60798,1.36367,0.00120491,0.00120491,0.00120491
30,128.762,0.54662,0.3314,0.92609,0.52028,0.55898,0.52633,0.37282,1.20545,1.68859,1.49678,0.0011884,0.0011884,0.0011884
31,133.015,0.52163,0.32797,0.90577,0.5808,0.61566,0.57151,0.42967,1.1296,1.73871,1.37399,0.0011719,0.0011719,0.0011719
