epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.30751,0.59063,0.34096,0.88708,0.52867,0.63261,0.52574,0.37133,1.10351,1.77681,1.0774,0.000545744,0.000545744,0.000545744
2,11.932,0.53734,0.31638,0.86669,0.52727,0.68364,0.563,0.41175,1.06409,1.62576,1.09254,0.00109414,0.00109414,0.00109414
3,17.4609,0.56151,0.32242,0.88231,0.51012,0.59333,0.49144,0.34635,1.18589,2.21399,1.10513,0.0016352,0.0016352,0.0016352
4,22.9764,0.60415,0.33617,0.88124,0.51825,0.60031,0.47899,0.33237,1.17958,2.06587,1.12029,0.00163399,0.00163399,0.00163399
5,28.567,0.60408,0.34262,0.88412,0.5128,0.62512,0.48569,0.3356,1.12495,1.827,1.13811,0.00162299,0.00162299,0.00162299
6,34.5565,0.62239,0.35632,0.89139,0.49684,0.66283,0.51486,0.36541,1.10813,1.76201,1.12975,0.00161199,0.00161199,0.00161199
7,40.0408,0.60815,0.34547,0.89167,0.49886,0.62984,0.51755,0.35181,1.1475,1.86608,1.12786,0.00160099,0.00160099,0.00160099
8,45.5391,0.59769,0.35079,0.88076,0.53795,0.64901,0.51334,0.36873,1.05545,1.65544,1.07768,0.00158998,0.00158998,0.00158998
9,51.5677,0.58712,0.34811,0.8792,0.50104,0.62438,0.47469,0.32565,1.17596,2.10207,1.14857,0.00157898,0.00157898,0.00157898
10,57.3752,0.59135,0.34124,0.88685,0.55208,0.5829,0.47911,0.33687,1.08825,2.01943,1.05721,0.00156798,0.00156798,0.00156798
11,62.9248,0.58302,0.33967,0.88472,0.52105,0.63361,0.55327,0.40511,1.08834,1.7224,1.08346,0.00155698,0.00155698,0.00155698
12,68.4005,0.60373,0.34741,0.89076,0.38392,0.71895,0.40708,0.28022,1.25786,2.23507,1.16051,0.00154598,0.00154598,0.00154598
13,73.8508,0.60936,0.34621,0.88988,0.56896,0.54986,0.50547,0.35833,1.13588,1.97937,1.12469,0.00153497,0.00153497,0.00153497
14,79.3007,0.6065,0.37201,0.8857,0.47492,0.61708,0.45684,0.33125,1.10049,2.26585,1.07504,0.00152397,0.00152397,0.00152397
15,84.7671,0.58749,0.35151,0.88677,0.49931,0.71491,0.54991,0.38933,1.08571,1.71693,1.08558,0.00151297,0.00151297,0.00151297
16,90.1586,0.59104,0.34268,0.88536,0.44798,0.71171,0.49046,0.34322,1.19991,2.09182,1.15737,0.00150197,0.00150197,0.00150197
17,95.6003,0.57603,0.34134,0.88451,0.54326,0.64077,0.55988,0.38015,1.22211,1.65358,1.17016,0.00149096,0.00149096,0.00149096
18,101.05,0.60366,0.3547,0.8935,0.47342,0.61412,0.49008,0.34409,1.14177,1.86513,1.09819,0.00147996,0.00147996,0.00147996
19,106.528,0.62344,0.35723,0.89146,0.51739,0.66075,0.54021,0.37469,1.16587,1.64557,1.1198,0.00146896,0.00146896,0.00146896
20,111.973,0.61142,0.35329,0.89293,0.50734,0.65066,0.52004,0.37404,1.05966,1.7889,1.06076,0.00145796,0.00145796,0.00145796
21,117.434,0.58596,0.34264,0.88622,0.55963,0.58883,0.50409,0.35374,1.14555,1.73631,1.08989,0.00144696,0.00144696,0.00144696
22,122.914,0.56302,0.33099,0.87992,0.48991,0.61927,0.51797,0.36759,1.17845,1.72993,1.15047,0.00143595,0.00143595,0.00143595
23,128.389,0.58213,0.34135,0.88675,0.46146,0.65051,0.48693,0.34953,1.095,1.83146,1.08153,0.00142495,0.00142495,0.00142495
24,133.833,0.57486,0.34002,0.87875,0.47786,0.64528,0.49681,0.36162,1.11984,2.0957,1.12524,0.00141395,0.00141395,0.00141395
25,139.459,0.6085,0.3542,0.88973,0.44834,0.66759,0.50157,0.35546,1.14493,1.85163,1.11542,0.00140295,0.00140295,0.00140295
26,144.87,0.598,0.35106,0.89301,0.50267,0.58789,0.49325,0.35052,1.14148,1.78342,1.09482,0.00139195,0.00139195,0.00139195
27,150.4,0.57617,0.33593,0.88288,0.49686,0.63808,0.504,0.36261,1.11729,1.94309,1.10621,0.00138094,0.00138094,0.00138094
28,155.824,0.60194,0.35834,0.89126,0.47809,0.61303,0.48903,0.35521,1.12105,1.90662,1.0948,0.00136994,0.00136994,0.00136994
29,161.251,0.589,0.33965,0.87917,0.54824,0.64077,0.52166,0.36242,1.12424,1.91643,1.11195,0.00135894,0.00135894,0.00135894
30,166.677,0.57819,0.33435,0.89131,0.52183,0.62502,0.52159,0.37126,1.12619,1.7516,1.11965,0.00134794,0.00134794,0.00134794
31,172.098,0.58481,0.33574,0.8792,0.52219,0.65349,0.50691,0.33674,1.19261,1.79294,1.14483,0.00133693,0.00133693,0.00133693
