epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.86233,0.51605,0.29491,0.87196,0.54059,0.75019,0.60622,0.44548,1.08152,1.59043,1.07808,0.0019,0.0019,0.0019
2,13.3918,0.47071,0.27455,0.86248,0.52718,0.66718,0.57443,0.41962,1.11453,1.73061,1.09291,0.00389807,0.00389807,0.00389807
3,19.9815,0.45007,0.26874,0.85722,0.49823,0.68701,0.56239,0.40662,1.07305,1.7561,1.0816,0.00589416,0.00589416,0.00589416
4,26.3319,0.51125,0.29702,0.86635,0.51672,0.60505,0.48951,0.23326,1.83699,1.71168,1.53777,0.00788827,0.00788827,0.00788827
5,32.9003,0.53343,0.3075,0.86606,0.62836,0.54863,0.45071,0.26069,1.59627,1.93482,1.34914,0.0098804,0.0098804,0.0098804
6,39.4587,0.54065,0.31317,0.87054,0.59237,0.60812,0.5906,0.40086,1.24395,1.52904,1.17894,0.00997525,0.00997525,0.00997525
7,46.1746,0.55409,0.32535,0.87784,0.48721,0.61701,0.45149,0.23106,1.82774,2.08584,1.50156,0.0099703,0.0099703,0.0099703
8,52.9944,0.57843,0.34427,0.89059,0.43227,0.75821,0.50364,0.35329,1.17723,2.11086,1.11977,0.00996535,0.00996535,0.00996535
9,59.9629,0.59381,0.33975,0.88698,0.47616,0.47918,0.36778,0.16346,2.03941,2.30481,1.64258,0.0099604,0.0099604,0.0099604
10,66.3546,0.57089,0.33288,0.88949,0.44643,0.38573,0.2576,0.08535,2.6235,2.79273,2.17661,0.00995545,0.00995545,0.00995545
11,72.8667,0.56129,0.31923,0.87658,0.54006,0.64268,0.54767,0.3934,1.09444,1.83415,1.09003,0.0099505,0.0099505,0.0099505
12,79.3974,0.58952,0.3292,0.89044,0.52103,0.61975,0.53867,0.3749,1.14371,1.76043,1.11578,0.00994555,0.00994555,0.00994555
13,85.6893,0.57469,0.3349,0.88235,0.43777,0.52135,0.39819,0.23144,1.51065,2.27093,1.24167,0.0099406,0.0099406,0.0099406
14,92.4541,0.60083,0.34304,0.89131,0.45555,0.60505,0.42629,0.28753,1.20643,2.1319,1.11811,0.00993565,0.00993565,0.00993565
15,98.9918,0.5879,0.34327,0.88316,0.40384,0.58483,0.36305,0.13526,2.30882,2.36747,1.83318,0.0099307,0.0099307,0.0099307
16,105.692,0.58491,0.33604,0.88979,0.48982,0.49547,0.28098,0.19553,1.18189,3.19503,1.14028,0.00992575,0.00992575,0.00992575
17,112.148,0.56933,0.33129,0.88088,0.48617,0.5078,0.4106,0.17186,2.20956,2.21642,1.84013,0.0099208,0.0099208,0.0099208
18,119.142,0.59639,0.34256,0.88635,0.45736,0.56385,0.3917,0.27189,1.14725,2.28613,1.0821,0.00991585,0.00991585,0.00991585
19,125.54,0.59466,0.33651,0.88484,0.55414,0.47271,0.37972,0.14383,2.28612,2.21209,1.87883,0.0099109,0.0099109,0.0099109
20,132.463,0.58185,0.33421,0.88864,0.49591,0.57828,0.42258,0.19127,2.01547,1.88483,1.62302,0.00990595,0.00990595,0.00990595
21,139.03,0.60572,0.34725,0.89329,0.48953,0.51489,0.33753,0.12327,2.37766,2.53058,1.90244,0.009901,0.009901,0.009901
22,145.529,0.5671,0.32761,0.87545,0.50019,0.53095,0.3473,0.12925,2.36846,2.72837,1.92658,0.00989605,0.00989605,0.00989605
23,152.311,0.58642,0.33605,0.87551,0.42355,0.40731,0.30175,0.06738,3.05449,2.82954,2.73936,0.0098911,0.0098911,0.0098911
24,158.59,0.56768,0.32447,0.87763,0.54148,0.60735,0.46587,0.32664,1.17276,1.87197,1.14135,0.00988615,0.00988615,0.00988615
25,165.173,0.57047,0.32712,0.88058,0.54195,0.55299,0.42586,0.23882,1.58532,2.06514,1.37184,0.0098812,0.0098812,0.0098812
26,171.688,0.58833,0.34333,0.88965,0.59476,0.43481,0.42973,0.22604,1.88849,1.98343,1.53332,0.00987625,0.00987625,0.00987625
27,178.436,0.58332,0.33103,0.88402,0.52996,0.37868,0.32405,0.14259,2.17325,2.39488,1.73965,0.0098713,0.0098713,0.0098713
28,184.709,0.55763,0.32197,0.88486,0.53749,0.56909,0.48361,0.31875,1.35176,1.89271,1.19384,0.00986635,0.00986635,0.00986635
29,191.675,0.58267,0.32542,0.87841,0.47195,0.5883,0.45156,0.27694,1.43887,2.29374,1.19665,0.0098614,0.0098614,0.0098614
30,197.954,0.57838,0.32729,0.88372,0.44434,0.43212,0.32116,0.15321,1.90863,2.26318,1.55151,0.00985645,0.00985645,0.00985645
31,204.423,0.56732,0.32988,0.88358,0.4807,0.38236,0.25858,0.11991,1.97091,2.66686,1.64489,0.0098515,0.0098515,0.0098515
32,211.011,0.586,0.33786,0.89204,0.46638,0.56821,0.39731,0.21093,1.72671,2.2215,1.3801,0.00984655,0.00984655,0.00984655
33,217.385,0.5813,0.33758,0.88293,0.43526,0.40491,0.31606,0.10937,2.5997,2.4629,2.19922,0.0098416,0.0098416,0.0098416
34,224.118,0.5873,0.32978,0.88145,0.52692,0.50638,0.41274,0.1714,2.14973,2.0605,1.75101,0.00983665,0.00983665,0.00983665
35,230.621,0.59987,0.33804,0.89479,0.59806,0.58785,0.48791,0.30498,1.3649,1.88985,1.21642,0.0098317,0.0098317,0.0098317
36,237.458,0.58282,0.33363,0.8872,0.52167,0.5835,0.44933,0.2425,1.6415,2.02644,1.35697,0.00982675,0.00982675,0.00982675
37,243.963,0.61323,0.33785,0.88718,0.60395,0.62752,0.58407,0.41531,1.12899,1.59776,1.08597,0.0098218,0.0098218,0.0098218
38,250.925,0.58776,0.339,0.88332,0.57491,0.67236,0.58962,0.39667,1.23066,1.5315,1.13206,0.00981685,0.00981685,0.00981685
39,257.358,0.57199,0.33648,0.87964,0.51938,0.61931,0.50655,0.35183,1.19885,1.82497,1.1366,0.0098119,0.0098119,0.0098119
40,263.798,0.57686,0.33297,0.88923,0.47862,0.50515,0.43474,0.14304,2.67746,2.42194,2.25212,0.00980695,0.00980695,0.00980695
41,270.334,0.56711,0.33865,0.8724,0.48588,0.5164,0.35153,0.15493,2.04329,2.42875,1.64198,0.009802,0.009802,0.009802
42,276.621,0.58279,0.33064,0.8863,0.46998,0.62603,0.48195,0.32855,1.26379,1.82805,1.15054,0.00979705,0.00979705,0.00979705
43,282.958,0.59777,0.33635,0.88802,0.48439,0.52762,0.38072,0.2321,1.46382,2.315,1.24378,0.0097921,0.0097921,0.0097921
44,289.493,0.58333,0.33497,0.88157,0.49352,0.58384,0.4823,0.31376,1.16169,1.61584,1.11005,0.00978715,0.00978715,0.00978715
45,296.219,0.55572,0.31723,0.87152,0.44793,0.50745,0.40149,0.24722,1.4726,2.37684,1.24008,0.0097822,0.0097822,0.0097822
46,302.524,0.60071,0.34971,0.89079,0.50424,0.42079,0.30599,0.1055,2.56568,2.44198,2.07884,0.00977725,0.00977725,0.00977725
47,309.084,0.57101,0.33212,0.88296,0.5096,0.63195,0.5087,0.31308,1.63286,2.27499,1.34973,0.0097723,0.0097723,0.0097723
48,315.385,0.57386,0.33476,0.88316,0.56319,0.63028,0.49046,0.32412,1.2376,1.70791,1.15207,0.00976735,0.00976735,0.00976735
49,322.115,0.59615,0.35451,0.89405,0.52401,0.56999,0.5106,0.27944,1.68666,1.80201,1.39636,0.0097624,0.0097624,0.0097624
50,328.351,0.60228,0.35416,0.89257,0.5035,0.5793,0.48726,0.22208,2.10929,1.79691,1.70234,0.00975745,0.00975745,0.00975745
51,334.649,0.59097,0.34137,0.88139,0.67472,0.39912,0.27266,0.18864,1.09089,3.31766,1.10242,0.0097525,0.0097525,0.0097525
52,340.892,0.58604,0.34237,0.88413,0.50833,0.57099,0.46425,0.34411,1.12049,2.3145,1.10041,0.00974755,0.00974755,0.00974755
53,347.404,0.59596,0.34942,0.88743,0.53293,0.59772,0.46502,0.31163,1.26953,1.98781,1.16585,0.0097426,0.0097426,0.0097426
54,354.172,0.58493,0.34147,0.88306,0.55491,0.5918,0.51742,0.29089,1.62726,1.66263,1.39467,0.00973765,0.00973765,0.00973765
55,360.573,0.59913,0.35077,0.89113,0.55336,0.53881,0.45171,0.30506,1.13083,1.80236,1.09754,0.0097327,0.0097327,0.0097327
56,367.383,0.58904,0.34778,0.88397,0.5153,0.59255,0.41835,0.19578,1.99456,1.93538,1.62804,0.00972775,0.00972775,0.00972775
57,373.831,0.58752,0.33969,0.88355,0.54239,0.46791,0.38882,0.23759,1.31795,2.15999,1.22749,0.0097228,0.0097228,0.0097228
